Brkenn,X_WERT,Y_WERT,wellid,y,x,k,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut
W 6328,2528405.63,5659805.2,well809,2381.67,214.7,0,thiem,0,0,0,0,0.5,6,0
W 6330,2528407.21,5659711.8,well810,2475.07,216.28,0,thiem,0,0,0,0,0.5,6,0
W 6331,2528588.88,5660159.7,well811,2027.17,397.95,0,thiem,0,0,0,0,0.5,6,0
W 6340,2529195.69,5658745.19,well812,3441.68,1004.76,0,thiem,0,0,0,0,0.5,6,0
W 6346,2529514.32,5658002.68,well813,4184.19,1323.39,0,thiem,0,0,0,0,0.5,6,0
W 6349,2529641.86,5657790.24,well814,4396.63,1450.93,0,thiem,0,0,0,0,0.5,6,0
W 6354,2529050.99,5657502.64,well815,4684.23,860.06,0,thiem,0,0,0,0,0.5,6,0
W 6355,2528786.5,5657693.45,well816,4493.42,595.57,0,thiem,0,0,0,0,0.5,6,0
W 6359,2530563.32,5657276.66,well817,4910.21,2372.39,0,thiem,0,0,0,0,0.5,6,0
W 6362,2528578.55,5659182.61,well818,3004.26,387.62,0,thiem,0,0,0,0,0.5,6,0
W 6363,2528399.5,5657830.46,well819,4356.41,208.57,0,thiem,0,0,0,0,0.5,6,0
W 6365,2528597.31,5658597.84,well820,3589.03,406.38,0,thiem,0,0,0,0,0.5,6,0
W 6368,2531007.69,5657139.53,well821,5047.34,2816.76,0,thiem,0,0,0,0,0.5,6,0
W 6377,2528428.01,5658532.34,well822,3654.53,237.08,0,thiem,0,0,0,0,0.5,6,0
W 6379,2528407.53,5658306.25,well823,3880.62,216.6,0,thiem,0,0,0,0,0.5,6,0
W 6382,2528322.29,5659674.83,well824,2512.04,131.36,0,thiem,0,0,0,0,0.5,6,0
W 6384,2528535.54,5658975.28,well825,3211.59,344.61,0,thiem,0,0,0,0,0.5,6,0
W 6385,2528924.84,5657533.77,well826,4653.1,733.91,0,thiem,0,0,0,0,0.5,6,0
W 6389,2530839.94,5657412.96,well827,4773.91,2649.01,0,thiem,0,0,0,0,0.5,6,0
W 6391,2530500.09,5657567.27,well828,4619.6,2309.16,0,thiem,0,0,0,0,0.5,6,0
W 6392,2530604.76,5657539.83,well829,4647.04,2413.83,0,thiem,0,0,0,0,0.5,6,0
W 6393,2530672.37,5657276.13,well830,4910.74,2481.44,0,thiem,0,0,0,0,0.5,6,0
W 6395,2530436.48,5657362.09,well831,4824.78,2245.55,0,thiem,0,0,0,0,0.5,6,0
W 6396,2530667.7,5657156.59,well832,5030.28,2476.77,0,thiem,0,0,0,0,0.5,6,0
W 6398,2530191.28,5657318.16,well833,4868.71,2000.35,0,thiem,0,0,0,0,0.5,6,0
W 6403,2528360.38,5660776.86,well834,1410.01,169.45,0,thiem,0,0,0,0,0.5,6,0
W 6412,2528571.09,5659454.28,well835,2732.59,380.16,0,thiem,0,0,0,0,0.5,6,0
W 6427,2530050.2,5659967.27,well836,2219.6,1859.27,0,thiem,0,0,0,0,0.5,6,0
W 6428,2530101.76,5659811.27,well837,2375.6,1910.83,0,thiem,0,0,0,0,0.5,6,0
W 6429,2530179.81,5659644.34,well838,2542.53,1988.88,0,thiem,0,0,0,0,0.5,6,0
W 6438,2528444.07,5658057.16,well839,4129.71,253.14,0,thiem,0,0,0,0,0.5,6,0
W 6446,2528602.78,5657833.66,well840,4353.21,411.85,0,thiem,0,0,0,0,0.5,6,0
W 6448,2528395.69,5660068.53,well841,2118.34,204.76,0,thiem,0,0,0,0,0.5,6,0
W 6450,2528503.36,5657762.51,well842,4424.36,312.43,0,thiem,0,0,0,0,0.5,6,0
W 6475,2528493.69,5658819.06,well843,3367.81,302.76,0,thiem,0,0,0,0,0.5,6,0
W 6511,2528725.95,5661374.27,well844,812.6,535.02,0,thiem,0,0,0,0,0.5,6,0
W 6514,2528839.74,5661314.57,well845,872.3,648.81,0,thiem,0,0,0,0,0.5,6,0
W 6515,2528611.01,5661537.87,well846,649,420.08,0,thiem,0,0,0,0,0.5,6,0
W 6523,2528725.24,5661255.14,well847,931.73,534.31,0,thiem,0,0,0,0,0.5,6,0
W 6525,2528812.73,5660885.09,well848,1301.78,621.8,0,thiem,0,0,0,0,0.5,6,0
W 6527,2528710.19,5661095.56,well849,1091.31,519.26,0,thiem,0,0,0,0,0.5,6,0
W 6528,2528809.37,5661499.13,well850,687.74,618.44,0,thiem,0,0,0,0,0.5,6,0
W 6531,2528633.96,5661309.89,well851,876.98,443.03,0,thiem,0,0,0,0,0.5,6,0
W 6534,2528348.16,5661189.99,well852,996.88,157.23,0,thiem,0,0,0,0,0.5,6,0
WA5748,2528670.41,5658684.67,well853,3502.2,479.48,0,thiem,0,0,0,0,0.5,6,0
WA5750,2530277.87,5658296.64,well854,3890.23,2086.94,0,thiem,0,0,0,0,0.5,6,0
WA5781,2528415.59,5661264.28,well855,922.59,224.66,0,thiem,0,0,0,0,0.5,6,0
WA5810,2529583.37,5659113.14,well856,3073.73,1392.44,0,thiem,0,0,0,0,0.5,6,0
WA5813,2529756.44,5658357.51,well857,3829.36,1565.51,0,thiem,0,0,0,0,0.5,6,0
WA5814,2530084.04,5658515.11,well858,3671.76,1893.11,0,thiem,0,0,0,0,0.5,6,0
WA5816,2530202.88,5658211.2,well859,3975.67,2011.95,0,thiem,0,0,0,0,0.5,6,0
WA5817,2530053.05,5658116.42,well860,4070.45,1862.12,0,thiem,0,0,0,0,0.5,6,0
WA5818,2530122.96,5657769.43,well861,4417.44,1932.03,0,thiem,0,0,0,0,0.5,6,0
WA5820,2530190.04,5657466.61,well862,4720.26,1999.11,0,thiem,0,0,0,0,0.5,6,0
WA5974,2530466.94,5657888.25,well863,4298.62,2276.01,0,thiem,0,0,0,0,0.5,6,0
WA5976,2530233.11,5658699.5,well864,3487.37,2042.18,0,thiem,0,0,0,0,0.5,6,0
WA5978,2530188.02,5658949.78,well865,3237.09,1997.09,0,thiem,0,0,0,0,0.5,6,0
WA5979,2530069.32,5659195.8,well866,2991.07,1878.39,0,thiem,0,0,0,0,0.5,6,0
WA5986,2529013.76,5660069.33,well867,2117.54,822.83,0,thiem,0,0,0,0,0.5,6,0
WA5988,2528901.95,5659736.27,well868,2450.6,711.02,0,thiem,0,0,0,0,0.5,6,0
WA5989,2528728.03,5659617.25,well869,2569.62,537.1,0,thiem,0,0,0,0,0.5,6,0
WA5990,2528759.59,5659526.48,well870,2660.39,568.66,0,thiem,0,0,0,0,0.5,6,0
WA5991,2528511.79,5660683.61,well871,1503.26,320.86,0,thiem,0,0,0,0,0.5,6,0
WA5992,2528536.5,5659732.95,well872,2453.92,345.57,0,thiem,0,0,0,0,0.5,6,0
WA5993,2528611.33,5659963.93,well873,2222.94,420.4,0,thiem,0,0,0,0,0.5,6,0
WA5994,2528673.91,5660069.99,well874,2116.88,482.98,0,thiem,0,0,0,0,0.5,6,0
WA5997,2528643.88,5660277.77,well875,1909.1,452.95,0,thiem,0,0,0,0,0.5,6,0
WA5998,2528431.18,5660509.89,well876,1676.98,240.25,0,thiem,0,0,0,0,0.5,6,0
WA6001,2528461.37,5661007.76,well877,1179.11,270.44,0,thiem,0,0,0,0,0.5,6,0
WA6024,2529559.55,5660298.92,well878,1887.95,1368.62,0,thiem,0,0,0,0,0.5,6,0
WA6071,2529448.19,5660569.87,well879,1617,1257.26,0,thiem,0,0,0,0,0.5,6,0
WA6076,2529477.61,5660244.51,well880,1942.36,1286.68,0,thiem,0,0,0,0,0.5,6,0
WA6094,2531364.69,5657718.69,well881,4468.18,3173.76,0,thiem,0,0,0,0,0.5,6,0
WA6095,2531089.47,5657533.35,well882,4653.52,2898.54,0,thiem,0,0,0,0,0.5,6,0
WA6096,2531448.58,5657342.93,well883,4843.94,3257.65,0,thiem,0,0,0,0,0.5,6,0
WA6098,2531410.44,5657114.25,well884,5072.62,3219.51,0,thiem,0,0,0,0,0.5,6,0
WA6131,2529367.94,5661206,well885,980.87,1177.01,0,thiem,0,0,0,0,0.5,6,0
WA6132,2529432.19,5661074.32,well886,1112.55,1241.26,0,thiem,0,0,0,0,0.5,6,0
WA6146,2529680.39,5660374.2,well887,1812.67,1489.46,0,thiem,0,0,0,0,0.5,6,0
WA6149,2529737.21,5660210.05,well888,1976.82,1546.28,0,thiem,0,0,0,0,0.5,6,0
WA6151,2529747.49,5659975.48,well889,2211.39,1556.56,0,thiem,0,0,0,0,0.5,6,0
WA6155,2530012.82,5659505.79,well890,2681.08,1821.89,0,thiem,0,0,0,0,0.5,6,0
WA6159,2530848.61,5657795.42,well891,4391.45,2657.68,0,thiem,0,0,0,0,0.5,6,0
WA6160,2531053.61,5658027.57,well892,4159.3,2862.68,0,thiem,0,0,0,0,0.5,6,0
WA6161,2530911.61,5657640.93,well893,4545.94,2720.68,0,thiem,0,0,0,0,0.5,6,0
WA6164,2531212.63,5657489.2,well894,4697.67,3021.7,0,thiem,0,0,0,0,0.5,6,0
WA6178,2529148.46,5661450.93,well895,735.94,957.53,0,thiem,0,0,0,0,0.5,6,0
WA6184,2529322,5660923.96,well896,1262.91,1131.07,0,thiem,0,0,0,0,0.5,6,0
WA6188,2529345.52,5660509.39,well897,1677.48,1154.59,0,thiem,0,0,0,0,0.5,6,0
WA6192,2529418.95,5659456.52,well898,2730.35,1228.02,0,thiem,0,0,0,0,0.5,6,0
WA6194,2529812.49,5659484.16,well899,2702.71,1621.56,0,thiem,0,0,0,0,0.5,6,0
WA6195,2529774.62,5659371.43,well900,2815.44,1583.69,0,thiem,0,0,0,0,0.5,6,0
WA6196,2529880.94,5659348.82,well901,2838.05,1690.01,0,thiem,0,0,0,0,0.5,6,0
WA6197,2529790.46,5659171.83,well902,3015.04,1599.53,0,thiem,0,0,0,0,0.5,6,0
WA6198,2529925.87,5658928.57,well903,3258.3,1734.94,0,thiem,0,0,0,0,0.5,6,0
WA6199,2529856.43,5658664.39,well904,3522.48,1665.5,0,thiem,0,0,0,0,0.5,6,0
WA6202,2530427.62,5658393.03,well905,3793.84,2236.69,0,thiem,0,0,0,0,0.5,6,0
WA6204,2530560.04,5658111.29,well906,4075.58,2369.11,0,thiem,0,0,0,0,0.5,6,0
WA6205,2530198.8,5658050.86,well907,4136.01,2007.87,0,thiem,0,0,0,0,0.5,6,0
WA6207,2530292.79,5657742.91,well908,4443.96,2101.86,0,thiem,0,0,0,0,0.5,6,0
WA6208,2530708.52,5657866.34,well909,4320.53,2517.59,0,thiem,0,0,0,0,0.5,6,0
WA6209,2530741.41,5657647.67,well910,4539.2,2550.48,0,thiem,0,0,0,0,0.5,6,0
WA6210,2531015.46,5657321.43,well911,4865.44,2824.53,0,thiem,0,0,0,0,0.5,6,0
WA6214,2531436.62,5657028.76,well912,5158.11,3245.69,0,thiem,0,0,0,0,0.5,6,0
WA6220,2529042.06,5661465.12,well913,721.75,851.13,0,thiem,0,0,0,0,0.5,6,0
WA6229,2529186.29,5660657.35,well914,1529.52,995.36,0,thiem,0,0,0,0,0.5,6,0
WA6230,2529011.19,5660400.56,well915,1786.31,820.26,0,thiem,0,0,0,0,0.5,6,0
WA6237,2529716.2,5659883.47,well916,2303.4,1525.27,0,thiem,0,0,0,0,0.5,6,0
WA6239,2529428.29,5659620.83,well917,2566.04,1237.36,0,thiem,0,0,0,0,0.5,6,0
WA6240,2529632.84,5659575.28,well918,2611.59,1441.91,0,thiem,0,0,0,0,0.5,6,0
WA6241,2529643.87,5659347.26,well919,2839.61,1452.94,0,thiem,0,0,0,0,0.5,6,0
WA6243,2528579.19,5659332.25,well920,2854.62,388.26,0,thiem,0,0,0,0,0.5,6,0
WA6244,2529700.16,5658949.67,well921,3237.2,1509.23,0,thiem,0,0,0,0,0.5,6,0
WA6245,2529338.31,5658990.87,well922,3196,1147.38,0,thiem,0,0,0,0,0.5,6,0
WA6246,2529582.45,5658758.27,well923,3428.6,1391.52,0,thiem,0,0,0,0,0.5,6,0
WA6247,2529817.69,5658565.94,well924,3620.93,1626.76,0,thiem,0,0,0,0,0.5,6,0
WA6248,2529560.26,5658379.33,well925,3807.54,1369.33,0,thiem,0,0,0,0,0.5,6,0
WA6249,2529388.19,5658371.25,well926,3815.62,1197.26,0,thiem,0,0,0,0,0.5,6,0
WA6251,2529891.5,5658197.02,well927,3989.85,1700.57,0,thiem,0,0,0,0,0.5,6,0
WA6253,2529329.83,5657831.95,well928,4354.92,1138.9,0,thiem,0,0,0,0,0.5,6,0
WA6254,2529390.29,5657694.33,well929,4492.54,1199.36,0,thiem,0,0,0,0,0.5,6,0
WA6255,2528541.24,5658078.14,well930,4108.73,350.31,0,thiem,0,0,0,0,0.5,6,0
WA6256,2529922.03,5657843.68,well931,4343.19,1731.1,0,thiem,0,0,0,0,0.5,6,0
WA6257,2530012.93,5657780.89,well932,4405.98,1822,0,thiem,0,0,0,0,0.5,6,0
WA6258,2530006.28,5657583.03,well933,4603.84,1815.35,0,thiem,0,0,0,0,0.5,6,0
WA6259,2530055.9,5657678.81,well934,4508.06,1864.97,0,thiem,0,0,0,0,0.5,6,0
WA6260,2530277.27,5657580,well935,4606.87,2086.34,0,thiem,0,0,0,0,0.5,6,0
WA6261,2530645.43,5657748.64,well936,4438.23,2454.5,0,thiem,0,0,0,0,0.5,6,0
WA6262,2530695.22,5657986.85,well937,4200.02,2504.29,0,thiem,0,0,0,0,0.5,6,0
WA6272,2528959.65,5661348.8,well938,838.07,768.72,0,thiem,0,0,0,0,0.5,6,0
WA6278,2529011.19,5660400.56,well939,1786.31,820.26,0,thiem,0,0,0,0,0.5,6,0
WA6279,2528874.19,5660168.25,well940,2018.62,683.26,0,thiem,0,0,0,0,0.5,6,0
WA6280,2529027.17,5660234.69,well941,1952.18,836.24,0,thiem,0,0,0,0,0.5,6,0
WA6282,2529045.51,5659976.67,well942,2210.2,854.58,0,thiem,0,0,0,0,0.5,6,0
WA6283,2528591.21,5660369.8,well943,1817.07,400.28,0,thiem,0,0,0,0,0.5,6,0
WA6284,2529340.8,5659639.42,well944,2547.45,1149.87,0,thiem,0,0,0,0,0.5,6,0
WA6285,2529241.36,5659555.51,well945,2631.36,1050.43,0,thiem,0,0,0,0,0.5,6,0
WA6286,2529302.21,5659466.93,well946,2719.94,1111.28,0,thiem,0,0,0,0,0.5,6,0
WA6287,2529139.75,5659257.96,well947,2928.91,948.82,0,thiem,0,0,0,0,0.5,6,0
WA6288,2528407.25,5658983.9,well948,3202.97,216.32,0,thiem,0,0,0,0,0.5,6,0
WA6289,2528593.95,5658231.09,well949,3955.78,403.02,0,thiem,0,0,0,0,0.5,6,0
WA6290,2529262.37,5658829.76,well950,3357.11,1071.44,0,thiem,0,0,0,0,0.5,6,0
WA6291,2529323.2,5658729.44,well951,3457.43,1132.27,0,thiem,0,0,0,0,0.5,6,0
WA6292,2529560.42,5658619.19,well952,3567.68,1369.49,0,thiem,0,0,0,0,0.5,6,0
WA6293,2529751.28,5658659.18,well953,3527.69,1560.35,0,thiem,0,0,0,0,0.5,6,0
WA6294,2529481.34,5658487.75,well954,3699.12,1290.41,0,thiem,0,0,0,0,0.5,6,0
WA6295,2529262.94,5658401.32,well955,3785.55,1072.01,0,thiem,0,0,0,0,0.5,6,0
WA6296,2529474.21,5658109.89,well956,4076.98,1283.28,0,thiem,0,0,0,0,0.5,6,0
WA6297,2529036.78,5658163.16,well957,4023.71,845.85,0,thiem,0,0,0,0,0.5,6,0
WA6298,2529722.32,5657913.16,well958,4273.71,1531.39,0,thiem,0,0,0,0,0.5,6,0
WA6299,2529643.2,5658035.09,well959,4151.78,1452.27,0,thiem,0,0,0,0,0.5,6,0
WA6300,2529905.71,5658016.5,well960,4170.37,1714.78,0,thiem,0,0,0,0,0.5,6,0
WA6302,2529735.32,5657797.18,well961,4389.69,1544.39,0,thiem,0,0,0,0,0.5,6,0
WA6303,2529155.53,5657606.18,well962,4580.69,964.6,0,thiem,0,0,0,0,0.5,6,0
WA6304,2529633.34,5657680.91,well963,4505.96,1442.41,0,thiem,0,0,0,0,0.5,6,0
WA6305,2529711.96,5657555.89,well964,4630.98,1521.03,0,thiem,0,0,0,0,0.5,6,0
WA6306,2529428.81,5657563.2,well965,4623.67,1237.88,0,thiem,0,0,0,0,0.5,6,0
WA6307,2529936.69,5657451.51,well966,4735.36,1745.76,0,thiem,0,0,0,0,0.5,6,0
WA6326,2528484.12,5659517.64,well967,2669.23,293.19,0,thiem,0,0,0,0,0.5,6,0
WA6329,2528850.76,5659562.33,well968,2624.54,659.83,0,thiem,0,0,0,0,0.5,6,0
WA6332,2528994.97,5659338.48,well969,2848.39,804.04,0,thiem,0,0,0,0,0.5,6,0
WA6333,2528684.64,5659880.28,well970,2306.59,493.71,0,thiem,0,0,0,0,0.5,6,0
WA6334,2529260.15,5659232.59,well971,2954.28,1069.22,0,thiem,0,0,0,0,0.5,6,0
WA6336,2529014.04,5659069.85,well972,3117.02,823.11,0,thiem,0,0,0,0,0.5,6,0
WA6337,2528764.78,5658973.03,well973,3213.84,573.85,0,thiem,0,0,0,0,0.5,6,0
WA6338,2528804.43,5658780.89,well974,3405.98,613.5,0,thiem,0,0,0,0,0.5,6,0
WA6339,2529130.52,5658847,well975,3339.87,939.59,0,thiem,0,0,0,0,0.5,6,0
WA6341,2529050.54,5658533.33,well976,3653.54,859.61,0,thiem,0,0,0,0,0.5,6,0
WA6342,2529333.34,5658506.41,well977,3680.46,1142.41,0,thiem,0,0,0,0,0.5,6,0
WA6343,2529062.93,5658408.53,well978,3778.34,872,0,thiem,0,0,0,0,0.5,6,0
WA6344,2528873.86,5658240.51,well979,3946.36,682.93,0,thiem,0,0,0,0,0.5,6,0
WA6345,2529308.37,5658264.53,well980,3922.34,1117.44,0,thiem,0,0,0,0,0.5,6,0
WA6347,2529254.94,5658072.25,well981,4114.62,1064.01,0,thiem,0,0,0,0,0.5,6,0
WA6348,2529453.79,5657904.41,well982,4282.46,1262.86,0,thiem,0,0,0,0,0.5,6,0
WA6350,2529053.18,5657958.64,well983,4228.23,862.25,0,thiem,0,0,0,0,0.5,6,0
WA6351,2528972.59,5657769.75,well984,4417.12,781.66,0,thiem,0,0,0,0,0.5,6,0
WA6352,2528641.23,5658307.75,well985,3879.12,450.3,0,thiem,0,0,0,0,0.5,6,0
WA6367,2531322.91,5657497.99,well986,4688.88,3131.98,0,thiem,0,0,0,0,0.5,6,0
WA6371,2528944.12,5659463.13,well987,2723.74,753.19,0,thiem,0,0,0,0,0.5,6,0
WA6372,2528696.46,5659303.83,well988,2883.04,505.53,0,thiem,0,0,0,0,0.5,6,0
WA6373,2528871.92,5659128.19,well989,3058.68,680.99,0,thiem,0,0,0,0,0.5,6,0
WA6374,2528924.94,5658932.53,well990,3254.34,734.01,0,thiem,0,0,0,0,0.5,6,0
WA6375,2528947.18,5658768.89,well991,3417.98,756.25,0,thiem,0,0,0,0,0.5,6,0
WA6376,2528844.9,5658696.81,well992,3490.06,653.97,0,thiem,0,0,0,0,0.5,6,0
WA6386,2529645.62,5658180.13,well993,4006.74,1454.69,0,thiem,0,0,0,0,0.5,6,0
WA6388,2530857.49,5657509.51,well994,4677.36,2666.56,0,thiem,0,0,0,0,0.5,6,0
WA6390,2530832.53,5657126.53,well995,5060.34,2641.6,0,thiem,0,0,0,0,0.5,6,0
WA6394,2530292.86,5657478.66,well996,4708.21,2101.93,0,thiem,0,0,0,0,0.5,6,0
WA6426,2529051.19,5659798.01,well997,2388.86,860.26,0,thiem,0,0,0,0,0.5,6,0
WA6431,2528578.87,5659587.26,well998,2599.61,387.94,0,thiem,0,0,0,0,0.5,6,0
WA6432,2528686.11,5659196.74,well999,2990.13,495.18,0,thiem,0,0,0,0,0.5,6,0
WA6433,2528666.54,5658930.85,well1000,3256.02,475.61,0,thiem,0,0,0,0,0.5,6,0
WA6434,2528859.31,5658461.12,well1001,3725.75,668.38,0,thiem,0,0,0,0,0.5,6,0
WA6436,2528789.5,5658013.96,well1002,4172.91,598.57,0,thiem,0,0,0,0,0.5,6,0
WA6443,2529943.79,5657345.63,well1003,4841.24,1752.86,0,thiem,0,0,0,0,0.5,6,0
WA6502,2529073.2,5660700.27,well1004,1486.6,882.27,0,thiem,0,0,0,0,0.5,6,0
WA6507,2529173.62,5660849.87,well1005,1337,982.69,0,thiem,0,0,0,0,0.5,6,0
WA6601,2530314.42,5659216.16,well1006,2970.71,2123.49,0,thiem,0,0,0,0,0.5,6,0
WA6603,2530311.38,5659017.73,well1007,3169.14,2120.45,0,thiem,0,0,0,0,0.5,6,0
WA6608,2530616.46,5658618.02,well1008,3568.85,2425.53,0,thiem,0,0,0,0,0.5,6,0
WA6609,2530419.08,5658836.93,well1009,3349.94,2228.15,0,thiem,0,0,0,0,0.5,6,0
WA6617,2530359.34,5658070.28,well1010,4116.59,2168.41,0,thiem,0,0,0,0,0.5,6,0
